Name,Biography
Javon Hargrave,"Hargrave (6-2, 305) was originally drafted by the Pittsburgh Steelers in the third round (89th overall) of the 2016 NFL Draft. Throughout his seven-year NFL career with the Steelers (2016-19) and Philadelphia Eagles (2020-22), he has appeared in 111 games (96 starts) and registered 329 tackles, 37.5 sacks, six passes defensed, four forced fumbles and four fumble recoveries. Hargrave has also appeared in eight postseason contests and added 22 tackles, 3.0 sacks and one pass defensed. He was selected to the 2022 Pro Bowl following his second season with Philadelphia.Hargrave (6-2, 305) was originally drafted by the Pittsburgh Steelers in the third round (89th overall) of the 2016 NFL Draft. Throughout his seven-year NFL career with the Steelers (2016-19) and Philadelphia Eagles (2020-22), he has appeared in 111 games (96 starts) and registered 329 tackles, 37.5 sacks, six passes defensed, four forced fumbles and four fumble recoveries. Hargrave has also appeared in eight postseason contests and added 22 tackles, 3.0 sacks and one pass defensed. He was selected to the 2022 Pro Bowl following his second season with Philadelphia.Last season with the Eagles, Hargrave started all 17 games and finished with 60 tackles, a career-high 11.0 sacks, two fumble recoveries, two passes defensed and one forced fumble. He also started all three postseason games and notched nine tackles, 1.0 sack and one pass defensed.A 30-year-old native of Salisbury, NC, Hargrave attended South Carolina State University for four years (2012-15) where he started 47 games and registered 200 tackles, 62 tackles for loss, 37.0 sacks, five forced fumbles and two fumble recoveries. While at SCSU, Hargrave won back-to-back Mid-Eastern Athletic Conference Defensive Player of the Year Awards (2014-15)."
Jauan Jennings,"His first name is pronounced juh-WAHN.In addition to football, Jennings played basketball at Blackman (Murfreesboro, TN) HS.When a deadly tornado hit Tennessee in March of 2020, Jennings turned his scheduled autograph session into a donation drop off benefitting those affected by the tornado. ""Just to be able to go down there and help,"" said Jennings, ""It means a lot because this is a place that helped build who I am today. I had just gotten to Knoxville from the Combine and to wake up and see that call about the tornado and see the devastation that's happened, it broke my heart."" In addition to signing autographs and talking to young fans, Jennings organized donations to go toward the community. ""A lot of people are contacting me and they're like, 'What can we do?'"" Jennings said. ""And I'm like, 'Just bring donations. I'll take care of the rest.' It just means a lot to be able to just come out here and help the community.""Since childhood, Jennings has immersed himself in athletics. Coming from a family of athletes, Jennings grew up with a competitive spirit. Older sister, Alexis, played collegiate basketball at Kentucky and South Carolina, collecting Second-Team All-SEC honors as a senior with the Gamecocks in 2018-19. ""We were always outside going to the playgrounds or to the local YMCA to play against people,"" said Alexis. ""We pretty much played anything and everything. We just loved to be outside doing anything that had to do with sports.""Jennings followed in the footsteps of his father, Bennie, who was a four-year letterman on the University of North Alabama's football team from 1987-90. The First-Team All-American registered 29 catches for 456 yards and four touchdowns as a senior. His athletic prowess earned him a spot in UNA's Hall of Fame for football."
Sebastian Joseph-Day,"Joseph-Day (6-4, 310) was originally drafted by the Los Angeles Rams in the sixth round (195th overall) of the 2018 NFL Draft. Throughout his five-year NFL career with the Rams (2019-21) and Los Angeles Chargers (2022-23), he has appeared in 69 games (68 starts) and registered 225 tackles, 11.0 sacks, 21 tackles for loss, five passes defensed, one interception, two forced fumbles and one fumble recovery. He has also appeared in four postseason contests (three starts) and added 11 tackles, 0.5 sack and one pass defensed.Joseph-Day (6-4, 310) was originally drafted by the Los Angeles Rams in the sixth round (195th overall) of the 2018 NFL Draft. Throughout his five-year NFL career with the Rams (2019-21) and Los Angeles Chargers (2022-23), he has appeared in 69 games (68 starts) and registered 225 tackles, 11.0 sacks, 21 tackles for loss, five passes defensed, one interception, two forced fumbles and one fumble recovery. He has also appeared in four postseason contests (three starts) and added 11 tackles, 0.5 sack and one pass defensed.A 28-year-old native of Stroudsburg, PA, Joseph-Day attended Rutgers University (2013-17) where he appeared in 50 games (35 starts) and registered 97 tackles, 3.5 sacks, 14.5 tackles for loss, two passes defensed and two forced fumbles."
Kyle Juszczyk,"His last name is pronounced YOOZ-check.Named the recipient of the 2017 Bill Walsh Award, which was established in 2004 in honor of San Francisco's Hall of Fame Head Coach. The award, which is voted on by the coaching staff, is given to the 49er who has best represented the standard of professional excellence established by Walsh. Walsh served as the team's head coach for 10 seasons from 1979-88. In that time, he compiled a record of 102-63-1 and led the team to three Super Bowls. He was twice named Coach of the Year (1981, 1984) and was later named Coach of the Decade for the 1980s.Each offseason, Juszczyk likes to build at least one piece of furniture with his own hands. His most recent piece of furniture assembled was a farmhouse-style kitchen table.In search of his favorite pregame meal, Juszczyk settled on filet mignon with sweet potatoes and spaghetti with scrambled eggs, a meal he describes as, ""The perfect combination of protein and the right carbs before a game.""His great uncle, Rich ""Dickie"" Moore, played DT at Villanova University before being selected by the Green Bay Packers in the first round (12th overall) of the 1969 NFL Draft.Admires former U.S. Navy SEAL, Marcus Luttrell, who was awarded the Navy Cross Purple Heart for his actions of bravery.2016: AFC Pro Bowl2017: Bill Walsh Award, NFC Pro Bowl, 49ers Community Relations Youth Football Award2018: NFC Pro Bowl2019: NFC Pro BowlLed all NFL FBs in 2015 after registering career highs in recepts. (41), rec. yds. (321) and rec. TDs (4) for a Ravens offense that set a single-season team-record in net passing yds. (4,271).In 2016, finished with 37 recepts. for 266 yds. and was selected to his first career Pro Bowl.NFL players had the opportunity to participate in the NFL's annual My Cause, My Cleats campaign during Week 14 of the 2019 season. Juszczyk and his teammates represented their respective causes with custom-designed cleats in an effort to raise awareness and funding. Juszczyk represented the Breast Cancer Research Foundation, saying, ""I play to honor my wife's mother, Virginia.""NFL players had the opportunity to participate in the NFL's annual My Cause, My Cleats campaign during a designated home game between Weeks 13-15 of 2018. Juszczyk and his teammates represented their respective causes with custom-designed cleats in an effort to raise awareness and funding. The Crohn's & Colitis Foundation is a volunteer-fueled organization dedicated to finding cures for Crohn's disease and ulcerative colitis, and improving the quality of life of children and adults affected by these diseases.Juszczyk often promotes PLAY 60, the NFL's movement to get children active for at least 60 minutes a day. In 2013, he participated in a PLAY 60 Challenge kickoff assembly at Essex (MD) Elementary School.During all Week 13 games in 2017, NFL players had the chance to share the causes that are important to them as part of the NFL's My Cause, My Cleats campaign. ""It's not how you act in public that determines your character, but rather how your act when no one is looking,"" said Juszczyk.In February of 2017, Juszczyk spoke at the 28th Annual banquet for the Hanover (PA) Rotary Club. He helped recognize 16 scholar-athletes from Hanover, Delone Catholic, South Western and Spring Grove in Pennsylvania. The event raised money for the Hanover Rotary Club to provide funding to local youth organizations.In 2015, Juszczyk hosted the inaugural Juice's Future All-Stars Camp in Burbank, OH, with all proceeds donated to benefit Crohn's disease research."
Javon Kinlaw,"His first name is pronounced juh-VONN.Leesa James-Exum, Kinlaw's mother, immigrated to Washington D.C. from Trinidad and Tobago in 1995.Played with older brother, Caleb, at South Carolina from 2017-2019.After not participating in Pop Warner as a kid, Kinlaw's football career began as a sophomore at Goose Creek (Charleston, SC) HS.Kinlaw, known for his work ethic on and off the field, found an extra source of motivation in his daughter, Eden Amara, born in April of 2019. Heading into his final season with South Carolina, Kinlaw reached new heights on the defensive line and earned national accolades. ""When she was born, not that he didn't work hard before, but I saw a guy that was on a mission,"" South Carolina head coach Will Muschamp said. ""[He] understood that there was a lot more out there for him right now in taking care of his daughter and taking care of his family."" In addition to his growth on the field, Kinlaw saw the change in his mentality, too. ""It's been a long journey, and I still have a long way to go. I feel like I needed it at that point and time in my life,"" he said. ""It's helped me mature a little bit more, on and off the field. My biggest responsibility is being a good father.""Kinlaw and his family faced financial uncertainty throughout his childhood, as they often moved from place to place in order to make ends meet. ""You definitely can't give up on yourself,"" Kinlaw said. ""I didn't really expect myself to be here. I didn't expect myself to be a collegiate athlete, but I stuck with it."" Despite living in difficult circumstances at times, Kinlaw credits his childhood for his maturity. ""It made me a man at a young age, [I] grew up early definitely,"" said Kinlaw. ""It's been a long journey, just coming from the bottom and slowly working my way up. I'm really proud of myself and all that I've accomplished."""
George Kittle,"In 2019, was the recipient of the 49ers Len Eshmont Award, which is voted on by the players and is given to the 49er who best exemplifies the inspirational and courageous play of Len Eshmont, an original member of the 1946 49ers team.Named the recipient of the 2018 Bill Walsh Award, which was established in 2004 in honor of San Francisco's Hall of Fame Head Coach. The award, which is voted on by the coaching staff, is given to the 49er who has best represented the standard of professional excellence established by Walsh. Walsh served as the team's head coach for 10 seasons from 1979-88. In that time, he compiled a record of 102-63-1 and led the team to three Super Bowls. He was twice named Coach of the Year (1981, 1984) and was later named Coach of the Decade for the 1980s.His father, Bruce, was an offensive lineman at Iowa where he played in the 1982 Rose Bowl before suffering a career-ending injury in training camp with Washington in 1982. Following his football career, Bruce went on to become an assistant coach at Oklahoma University (2010-12). After more than five years as a criminal defense attorney, Bruce Kittle is the offensive line coach at Lipscomb Academy (Nashville, TN) HS, under former 49ers QB Trent Dilfer.​Bruce writes George a letter prior to each game he plays that he reads on the bus on the way to the stadium.Kittle's cousin, Henry Krieger-Coble, signed with the Denver Broncos as an undrafted free agent TE in 2016. The two were teammates at Iowa.2018: AP Second-Team All-Pro, PFWA NFL Most Improved Player, PFWA All-NFC Team, Bill Walsh Award, NFC Pro Bowl, Veteran Community Service Award2019: AP First-Team All-Pro, PFWA All-NFL Team, PFWA All-NFC Team, Len Eshmont Award, NFC Pro BowlIs the 5th player and 1st TE in franchise history to record multiple 1,000-yd. seasons (2018-19).Set an NFL record for most rec. yds. (1,377) in a season by a TE in 2018.Since the start of the 2017 season, he has registered 216 recepts. for 2,945 yds. and 12 TDs. His 2,945 rec. yds. are the most by a TE through his first 3 seasons in NFL history.Since entering the league in 2017, Kittle ranks 2rd in the NFL in rec. yds. among all TEs.In 2017, his rookie season, registered 43 recepts. for 515 yds. and 2 TDs. His 515 rec. yds. are the most by a 49ers rookie TE since the merger in 1970 and ranked 2nd among rookie TEs.Registered 7 recepts. for a career-high 210 yds. and 1 TD vs. Den. (12/9/18). His 210 rec. yds. are the most in a single game by a TE in franchise history and the 8th-most among all players.His 210 rec. yds vs. Den. (12/9/18) are also the 3rd-most by a TE in a single game in the NFL since 1960.With 210 rec. yds. vs. Den. (12/9/18), became the first 49ers TE to eclipse the 1,000-yd. receiving mark and set the franchise record for most yds. in a single season by a 49ers TE. He is the first member of the 49ers to register at least 1,000 rec. yds. in a single season since WR Anquan Boldin registered 1,062 rec. yds. in 2014.During the 2020 NFL Combine, Kittle teamed up with Rich Eisen in support of the Run Rich Run event. Each combine, Eisen runs the 40-yard dash to raise money for St. Jude's Children's Research Hospital. Kittle joined Eisen, with the assistance of Von, a St. Jude's patient, and Jerry Rice, in timing his 40-yard dash. George then presented a $10,000 donation to St. Jude's on behalf of him and his wife, Claire. ""I'm just such a fan of Rich and that he does that every year through St. Jude's,"" Kittle said. ""I'm a big fan of the Iowa Children's Hospital, so any time I can give back. I'm just a fan of that, any time I can give back to help kids, they deserve it, and I just love what Rich is doing, and so I thought I could help out a little bit.""Kittle partnered with the Jessie Rees Foundation to pass out JoyJars filled with toys and games at a local children's hospital. Kittle spearheaded the event and was joined by several of his teammates including, TE Garrett Celek, TE Ross Dwelley, TE Daniel Helm, QB Nick Mullens and LB Fred Warner who helped him spread holiday cheer and lift the spirits of everyone they met.The 49ers and their families hosted 450 underserved boys and girls from the Bay Area for the first-ever 49ers Hope for the Holidays event. Each child had a once-in-a-lifetime experience traveling through Levi's Stadium and left with a brand new bike, helmet, lock, haircut, shoes, toys, glasses, backpack, dinner and more.NFL players had the opportunity to participate in the NFL's annual My Cause, My Cleats campaign during Week 14 of the 2019 season. Kittle and his teammates represented their respective causes with custom-designed cleats in an effort to raise awareness and funding. Kittle represented TAPS, saying, ""I play for the fallen heroes and their families.""NFL players had the opportunity to participate in the NFL's annual My Cause, My Cleats campaign during a designated home game between Weeks 13-15 of 2018. Kittle and his teammates represented their respective causes with custom-designed cleats in an effort to raise awareness and funding. The Pat Tillman Foundation unites and empowers military veterans and spouses as the next generation of public and private sector leaders committed to service beyond self.The 49ers worked alongside the humanitarian-relief organization Convoy of Hope in December of 2018, and hosted 1,500 guests in-need from Bay Area nonprofits and schools at Levi's® Stadium for a free holiday resource fair. Kittle and his 49ers teammates distributed groceries, toys, books, shoes and other holiday offerings to the guests. The attendees also received haircuts, utilized health resources and took family portraits or professional headshots. Convoy of Hope is a nonprofit organization that directs children's feeding initiatives, hosts community outreach programs and provides disaster response resources to those in need in the Bay Area and throughout the world.Kittle and his teammates surprised guests of the CityTeam Men's Program and House of Grace in November of 2018, at Levi's Stadium. The group believed they were just taking a tour of the stadium, but they were in fact joining the 49ers players for a night full of exciting events. The guests received a makeover and haircut, selected a new outfit from Dockers, snapped a new headshot and then shared a Thanksgiving dinner with the 49ers players.After posing for a photoshoot, Kittle and his teammates joined Levi's in support of breast, colon and pediatric cancer warriors at the Crucial Catch Fashion Show presented by Dignity Health in October of 2018. 49ers players and cancer warriors took to the runway to show off their attire and share their stories of strength and courage with the audience.Kittle is an avid fan of the WWE. In May of 2017, he took time to visit the Black and Brave Wrestling Academy in Iowa, which is co-owned by one of Kittle's favorite wrestlers, WWE superstar Seth Rollins. At a pro wrestling event on the same weekend, Kittle got to live out one of his dreams and get into the ring, where he delivered a Stone Cold Stunner, a move made famous by his favorite wrestler of all-time, Steve Austin. ""I felt like a kid,"" Kittle said.The 49ers joined forces with Martha's Kitchen of San Jose as part of their Community Tuesday kickoff event on September 11, 2018. Kittle and teammates took part in the event by serving dinner to nearly 200 residents in need, refilling beverages and bussing tables. Both the 49ers and Levi's Stadium partner with Martha's Kitchen throughout the year by donating excess food after stadium events. Martha's Kitchen's mission is to ""feed the hungry with dignity, no questions asked, no judgements made.""During all Week 13 games in 2017, NFL players had the chance to share the causes that are important to them as part of the NFL's My Cause, My Cleats campaign. Kittle supported the USO for My Cause, My Cleats. He was inspired by his uncle's service in the army. ""Military service members and veterans, like my uncle, enable me to live my life with freedom and liberty,"" said Kittle.In April of 2018, along with several teammates, Kittle attended the eighth annual UCSF Benioff Children's Hospital Prom in San Francisco.As part of the 49ers annual Thanksgiving celebrations, Kittle and his teammates visited Cityteam San Jose to serve a holiday feast to over 300 people in need. Guests enjoyed turkey along with all of the usual holiday sides, while getting to know the 49ers."
Deommodore Lenoir,"COLLEGEAppeared in 47 games (34 starts) in four years (2017-20) at Oregon and recorded 154 tackles, 27 PDs, 6 INTs, 4.0 TFLs, 2 FFs and 1 FR. As a senior in 2020, started all 7 games and recorded 30 tackles, 1 INT, 1 PD and 1 FF. Named Associated Press Second-Team All-Pac-12. Started all 14 games in 2019 and registered 47 tackles, 8 PDs, 2.5 TFLs, 1 INT, 1 FF and 1 FR and was named Associated Press Second-Team All-Pac-12. As a sophomore in 2018, started all 13 games and recorded 52 tackles, 12 PDs and 3 INTs. In 2017, recorded 25 tackles, 6 PDs, 1.5 TFLs and 1 INT.PERSONALLENOIR'S GOLDEN NUGGETS"
Darrell Luter Jr.,"Luter Jr. (6-0, 190) was the first of two fifth-round draft picks (155th overall) selected by the 49ers in this year's NFL Draft. He appeared in 36 games in three years (2020-22) at South Alabama and registered 86 tackles, 16 PDs, 5 INTs and 1 FF after transferring from Pearl River (Poplarville, MS) Community College where he appeared in 18 games in two seasons (2018-19) and recorded 27 tackles, 14 PDs and 3 INTs. In 2022, appeared in 13 games and notched 37 tackles, 5 PDs and 1 INT, earning Third-Team All-Sun Belt honors. In 2021, appeared in 12 games and tallied 21 tackles, 10 PDs and 4 INTs, earning First-Team All-Sun Belt honors. Was also named Sun Belt Defensive Player of the Year and Second-Team All-American by Pro Football Focus. As a junior in 2020, appeared in all 11 games and added 28 tackles, 1 PD and 1 FF. As a sophomore in 2019 at Pearl River Community College, appeared in 9 games and registered 19 tackles, 8 PDs and 1 INT, earning a spot on the All-Mississippi Association of Community & Junior Colleges Second-Team. As a freshman in 2018, appeared in 9 games and recorded eight tackles, 6 PDs and 2 INTs.Luter Jr. (6-0, 190) was the first of two fifth-round draft picks (155th overall) selected by the 49ers in this year's NFL Draft. He appeared in 36 games in three years (2020-22) at South Alabama and registered 86 tackles, 16 PDs, 5 INTs and 1 FF after transferring from Pearl River (Poplarville, MS) Community College where he appeared in 18 games in two seasons (2018-19) and recorded 27 tackles, 14 PDs and 3 INTs. In 2022, appeared in 13 games and notched 37 tackles, 5 PDs and 1 INT, earning Third-Team All-Sun Belt honors. In 2021, appeared in 12 games and tallied 21 tackles, 10 PDs and 4 INTs, earning First-Team All-Sun Belt honors. Was also named Sun Belt Defensive Player of the Year and Second-Team All-American by Pro Football Focus. As a junior in 2020, appeared in all 11 games and added 28 tackles, 1 PD and 1 FF. As a sophomore in 2019 at Pearl River Community College, appeared in 9 games and registered 19 tackles, 8 PDs and 1 INT, earning a spot on the All-Mississippi Association of Community & Junior Colleges Second-Team. As a freshman in 2018, appeared in 9 games and recorded eight tackles, 6 PDs and 2 INTs.A 23-year-old native of Hattiesburg, MS, Luter attended Oak Grove (Hattiesburg, MS) High School."
Jordan Mason,
Christian McCaffrey,
Ray-Ray McCloud,
Colton McKivitz,"In addition to playing football, McKivitz was a four-year basketball player at Union Local (Jacobsburg, OH) HS, earning allstate honors as a senior in 2014.Didn't participate in organized football until he enrolled at Union Local before his sophomore year of high school in 2012.He caught his first fish, a bluegill, at age 3. McKivitz notes that the largest fish he's ever caught was an 8-pounder which he caught in the Summer of 2019.Is a fan of country music, citing Kenny Chesney and the Zac Brown Band among his favorites.McKivitz is a lover of outdoor activities, as he frequently spends his time with his dad, Matt, fishing and hunting, for deer, ducks and squirrels. ""It was really my dad that got me into it,"" said McKivitz. ""He's got me into everything in the outdoors, really. That's me and dad's time, the outdoor time. I'm just lucky to have that type of figure to learn from and that's kind of what I love most about the outdoors."" Matt is known for creating unique hats from the animals the two of them have hunted. The elder McKivitz is famous for being seen sporting one at each of West Virginia's home games.While the Mountaineers were on a bye in September of 2019, McKivitz returned to his former high school, Union Local, in Ohio to be honored at the homecoming game. The Jets retired McKivitz's number 53 in a pregame ceremony, an honor that McKivitz doesn't take lightly. ""It was huge. At the time I didn't really understand the meaning of it. But now, once you look back on it, that number will never see the field again. It's a pretty big honor for me."" Former Union Local offensive line coach Brion Schiappa echoed the sentiment, saying, ""We're all just so proud of what Colton has accomplished, and it meant a great deal to honor him in that way."""
Elijah Mitchell,"COLLEGEAppeared in 42 games (25 starts) in 4 years (2017-20) at Louisiana and recorded 527 carries for 3,267 yds. and 41 TDs to go along with 49 recepts. for 597 yds. and 5 TDs. As a senior in 2020, appeared in 10 games (9 starts) and recorded 141 carries for 878 yds. and 8 TDs and 1 recept. for 153 yds. and earned First-Team All-Sun Belt Conference honors. Appeared in all 14 games 3 starts) as a junior in 2019 and registered 198 rushes for a career-high 1,147 yds. and 16 TDs to go along with 10 recepts. for 70 yds. and 1 TD and was named First-Team All-Louisiana. Started all 13 games as a sophomore in 2018 and recorded 985 rushing yds. on 146 carries and 13 TDs and 20 recepts. for 349 yds. and 3 TDs. As a freshman in 2017, appeared in 5 games and rushed 42 times for 257 yds. and 4 TDs and added 3 recepts. for 25 yds. and 1 TD through the air.PERSONALMITCHELL'S GOLDEN NUGGETS"
Jake Moody,"Moody (6-1, 210) was the second of three third-round draft picks (99th overall) selected by the 49ers in this year's NFL Draft. He appeared in 60 games in five years (2018-22) at Michigan and converted 69 of 84 FGAs (82.1%) as well as all 148 of his PATs for 355 total points. Set Michigan records in games played (60) and points (355). Earned Second-Team All-American honors and First-Team All-Big Ten honors in 2022 after he appeared in 13 games and converted 29 of 35 FGAs and all 60 of his PATs for 147 points. Won the Lou Groza Award and earned First-Team All-American honors and First-Team All-Big Ten honors in 2021, appeared in all 14 games and converted 23 of 25 FGAs and all 56 of his PATS for 125 points. As a junior in 2020, converted all 9 of his PATs and 1 of 4 FGAs for 12 points. As a sophomore in 2019, appeared in all 13 games as a kickoff specialist. Also converted all 18 PATs and 5 of 8 FGAs for 31 points. As a freshman in 2018, appeared in all 13 games as a kickoff specialist and converted 10 of 11 FGAs and all 5 of his PATs for 35 points.Moody (6-1, 210) was the second of three third-round draft picks (99th overall) selected by the 49ers in this year's NFL Draft. He appeared in 60 games in five years (2018-22) at Michigan and converted 69 of 84 FGAs (82.1%) as well as all 148 of his PATs for 355 total points. Set Michigan records in games played (60) and points (355). Earned Second-Team All-American honors and First-Team All-Big Ten honors in 2022 after he appeared in 13 games and converted 29 of 35 FGAs and all 60 of his PATs for 147 points. Won the Lou Groza Award and earned First-Team All-American honors and First-Team All-Big Ten honors in 2021, appeared in all 14 games and converted 23 of 25 FGAs and all 56 of his PATS for 125 points. As a junior in 2020, converted all 9 of his PATs and 1 of 4 FGAs for 12 points. As a sophomore in 2019, appeared in all 13 games as a kickoff specialist. Also converted all 18 PATs and 5 of 8 FGAs for 31 points. As a freshman in 2018, appeared in all 13 games as a kickoff specialist and converted 10 of 11 FGAs and all 5 of his PATs for 35 points.A 23-year-old native of Northville, MI, Moody attended Northville (MI) High School."
Jaylon Moore,COLLEGEAppeared in 36 games (26 starts) in five years (2016-20) at Western Michigan. Played in all 6 games as a redshirt senior in 2020 and blocked for a WMU offense that ranked fourth in the MAC in yds. per game (479.7). Started all 13 games in 2019 and helped the Broncos finish with a top-three MAC ranking in total offensive yds. per game (445.7). Started all 13 games in 2018 and was part of an offensive line that allowed the 2nd-fewest sacks allowed per game (1.54 avg.) in the MAC. Appeared in 5 games in 2017 as a redshirt freshman. Did not see game action in 2016.PERSONALMOORE'S GOLDEN NUGGETS
George Odum,
Isaiah Oliver,
Taybor Pepper,"Pepper (6-4, 245) originally entered the NFL after signing with the Green Bay Packers to a Reserve/Future contract on January 27, 2017. He went on to appear in four games for Green Bay in 2017 prior to being placed on the Injured Reserve List on November 3, 2017. He later signed a Reserve/Future contract with the New York Giants on December 31, 2018 and was waived by the Giants on August 31, 2019. Pepper signed with the Miami Dolphins on September 2, 2019, where he went on to appear in all 16 games for the Dolphins. He was waived by Miami on May 27, 2020.Click Here to View Taybor Pepper's Full BioPepper (6-4, 245) originally entered the NFL after signing with the Green Bay Packers to a Reserve/Future contract on January 27, 2017. He went on to appear in four games for Green Bay in 2017 prior to being placed on the Injured Reserve List on November 3, 2017. He later signed a Reserve/Future contract with the New York Giants on December 31, 2018 and was waived by the Giants on August 31, 2019. Pepper signed with the Miami Dolphins on September 2, 2019, where he went on to appear in all 16 games for the Dolphins. He was waived by Miami on May 27, 2020.A 26-year-old native of Saline, MI, Pepper attended Michigan State University where he played in all 54 games at long snapper and registered 10 tackles on special teams. His 54 games played for the Spartans were tied for the most among any player in school history.Click Here to View Taybor Pepper's Full Bio"
Matt Pryor,"Pryor (6-7, 332) was originally drafted by the Philadelphia Eagles in the sixth round (206th overall) of the 2018 NFL Draft. Throughout his five-year NFL career with the Eagles (2018-20), Indianapolis Colts (2021-22) and San Francisco 49ers (2023), he has appeared in 73 regular season games (24 starts) and started one postseason contest. In 2023, Pryor appeared in 13 games with the team before being waived on December 25.Pryor (6-7, 332) was originally drafted by the Philadelphia Eagles in the sixth round (206th overall) of the 2018 NFL Draft. Throughout his five-year NFL career with the Eagles (2018-20), Indianapolis Colts (2021-22) and San Francisco 49ers (2023), he has appeared in 73 regular season games (24 starts) and started one postseason contest. In 2023, Pryor appeared in 13 games with the team before being waived on December 25.A 28-year-old native of Lakewood, CA, Pryor attended Texas Christian University (2013-17) where he appeared in 46 games (32 starts) and earned Associated Press Second-Team All-Big-12 honors as a senior in 2017."
Brock Purdy,
Logan Ryan,"Ryan (5-11, 195) was originally drafted by the New England Patriots in the third round (83rd overall) of the 2013 NFL Draft. Throughout his 10 year NFL career with the Patriots (2013-16), Tennessee Titans (2017-19), New York Giants (2020-21) and Tampa Bay Buccaneers (2022), he has appeared in 149 games (121 starts) and registered 733 tackles, 13.0 sacks, 98 passes defensed, 19 interceptions, 14 forced fumbles, and four fumble recoveries. He has also appeared in 16 postseason contests (10 starts) and added 94 tackles, 1.0 sack, eight passes defensed, two interceptions and one forced fumble.Ryan (5-11, 195) was originally drafted by the New England Patriots in the third round (83rd overall) of the 2013 NFL Draft. Throughout his 10 year NFL career with the Patriots (2013-16), Tennessee Titans (2017-19), New York Giants (2020-21) and Tampa Bay Buccaneers (2022), he has appeared in 149 games (121 starts) and registered 733 tackles, 13.0 sacks, 98 passes defensed, 19 interceptions, 14 forced fumbles, and four fumble recoveries. He has also appeared in 16 postseason contests (10 starts) and added 94 tackles, 1.0 sack, eight passes defensed, two interceptions and one forced fumble.A 32-year-old native of Berlin, NJ, Ryan attended Rutgers University (2009-12) where he appeared in 37 games and registered 170 tackles, a 0.5 sack, one pass defensed and seven interceptions."
Deebo Samuel,"His father, Galen, gave him the nickname ""Deebo"" after the notorious bully in the 1995 movie Friday because he was always taking things away from people as a toddler. In high school, his stepmother, Precious Martin, gave him another nickname, ""Sweet Feet,"" due to his speed.Lists his favorite player growing up as Reggie Bush.Finished the 2019 season with 802 rec. yds., which is 2nd all-time for most receiving yards by a rookie in franchise history.His 57 recepts. in 2019 finished 2nd all-time for most recepts. by a rookie in franchise history.Registered 3 games with 100-or-more rec. yds. during the 2019 season. According to the Elias Sports Bureau, his 3 games with 100-or-more rec. yds. became the most in a single season by a rookie in franchise history. According to the Elias Sports Bureau, he became the first WR in franchise history to have 3-or-more rushing TDs in a single season. He is the first WR to have 3-or-more rushing TDs in a single season in the NFL since 2016 (WR Tyreek Hill, KC – 3 rushing TDs & WR Ty Montgomery, GB – 3 rushing TDs).Samuel participated in the 49ers Annual Community Day, helping pack more than 31,000 nutritious meals in collaboration with Feeding Children Anywhere. The meals, along with groceries and backpacks, were distributed to those most in need in East San Jose.Samuel, a South Carolina native, knew he wanted to stay close to home when he went to college. Growing up with eight siblings, family has been a staple in his life. Step-mom, Precious Martin, noted that Deebo and his siblings were always hanging out at the house and encouraging each other to accomplish their goals. One of her goals was to finally get her college degree after struggling in college during her youth. Deebo, like with the other members of his family, was there to support her, often helping her with her homework. ""Deebo used to help me a lot with my math courses, he's real good in math,"" said Martin. ""They've seen me working hard as far as working and working hard at school, a lot of sacrifices I had to make and a lot of things I had to miss out with them. I think that plays a major part in my children wanting to further their education."" Her goal was accomplished when both she and Deebo graduated from college.A retail management major at South Carolina, Samuel is passionate about fashion and his appearances in front of the camera. His fashion flair became something he was known for during his time in Columbia, usually with help from his stepmom, Precious. Martin and Samuel would often video chat while he was away from home so she could help pick out his outfits. ""I love it. It makes me feel like he needs me,"" she said. ""I can't get enough of it. I don't know if he does it more for me or more for him."" Samuel was even referred to as the best dressed player at SEC Media Day. When asked about Samuel's style, a former coach remarked that his style doesn't always coincide with his personality. ""Coming through here he'd always be dressed to the max. It's surprising knowing how humble he is and soft-spoken he is, but it's almost like his clothing is his alter-ego,"" said Steven Fusaro, who coached Deebo during his time at Chapman High. Following his football career, Samuel hopes to start his own clothing line."
Ambry Thomas,"COLLEGEAppeared in 39 (13 starts) games in four years (2017-20) at Michigan and recorded 54 tackles, 3.5 TFLs, 9 PDs, 5 FRs, 4 INTs and 1 FF. Also added 39 KORs for 808 yds. (20.7
avg.) on special teams. Elected to opt-out of the 2020 season. As a junior in 2019, started all 13 games and registered 38 tackles, 7 PDs, 3.0 TFLs, 3 INTs and 2 FRs. On special teams,
recorded 19 KORs for 412 yds. (21.7 avg.). Appeared n all 13 games as a sophomore in 2018, and recorded 9 tackles, 2 PDs, 1 INT and 1 FR. Appeared in all 13 games as a freshman in 2017 and registered 7 tackles, 0.5 TFL, 2 FRs and 1 FF along with 20 KORs for 396 yds. (19.8 avg.) on special teams.PERSONALTHOMAS' GOLDEN NUGGETS"
Charvarius Ward,
